id,condition_id,condition_name,icd_codes_json,snomed_codes_json,typical_symptoms_json,rare_symptoms_json,red_flag_symptoms_json,prevalence,is_rare_disease,urgency_level,temporal_pattern,diagnostic_criteria_json,differential_diagnoses_json,recommended_tests_json,specialist_referral,distinguishing_features_json,evidence_sources_json,typical_age_range,sex_predilection,created_at,updated_at
1,COND001,Acute Myocardial Infarction,"[""I21.9"",""I21.0""]","[""57054005""]","[""chest pain"",""shortness of breath"",""sweating"",""nausea"",""left arm pain"",""jaw pain""]","[""epigastric pain"",""vomiting"",""back pain""]","[""severe chest pain radiating to left arm"",""acute shortness of breath"",""diaphoresis""]",150,false,emergency,"acute onset, sustained","[""Troponin elevation"",""ECG changes (ST elevation or depression)"",""Chest pain >20 minutes""]","[""Unstable Angina"",""Pulmonary Embolism"",""Aortic Dissection"",""Pericarditis""]","[""ECG"",""Troponin I/T"",""Cardiac catheterization"",""Echocardiogram"",""Chest X-ray""]",Cardiologist,"[""ST elevation on ECG"",""Positive cardiac biomarkers"",""Radiation to left arm/jaw""]","[""American Heart Association Guidelines"",""ESC Guidelines on Myocardial Infarction""]",50-75 years,male,2024-01-01 00:00:00,2024-01-01 00:00:00
2,COND002,Migraine with Aura,"[""G43.1""]","[""4473006""]","[""severe headache"",""visual aura"",""photophobia"",""phonophobia"",""nausea""]","[""hemiplegic weakness"",""aphasia"",""confusion""]","[""sudden severe headache (thunderclap)"",""fever with headache"",""focal neurological deficits""]",120,false,urgent,"episodic, 4-72 hours","[""At least 5 attacks"",""Headache lasting 4-72 hours"",""Unilateral, pulsating pain"",""Nausea or photophobia/phonophobia""]","[""Tension Headache"",""Cluster Headache"",""Intracranial Hemorrhage"",""Brain Tumor""]","[""Clinical diagnosis"",""MRI brain if atypical"",""CT head to rule out bleeding""]",Neurologist,"[""Visual aura preceding headache"",""Unilateral pulsating pain"",""Worse with activity""]","[""International Headache Society Classification"",""American Academy of Neurology Guidelines""]",15-55 years,female,2024-01-01 00:00:00,2024-01-01 00:00:00
3,COND003,Lung Cancer,"[""C34.9"",""C34.1""]","[""93880001""]","[""persistent cough"",""hemoptysis"",""weight loss"",""chest pain"",""dyspnea"",""hoarseness""]","[""clubbing of fingers"",""superior vena cava syndrome"",""Horner syndrome""]","[""hemoptysis"",""unexplained weight loss >10 pounds"",""persistent cough >3 weeks in smoker""]",60,false,urgent,"chronic, progressive, months","[""Imaging showing mass"",""Biopsy confirmation"",""Smoking history or exposure""]","[""Tuberculosis"",""Pneumonia"",""Chronic Bronchitis"",""Lung Abscess"",""Sarcoidosis""]","[""Chest X-ray"",""CT chest with contrast"",""PET scan"",""Bronchoscopy with biopsy"",""Sputum cytology""]",Oncologist,"[""History of smoking"",""Age >50"",""Mass on imaging"",""Weight loss""]","[""NCCN Guidelines"",""American Cancer Society"",""Lung Cancer Screening Trials""]",55-75 years,male,2024-01-01 00:00:00,2024-01-01 00:00:00
4,COND004,Rheumatoid Arthritis,"[""M06.9"",""M05.9""]","[""69896004""]","[""joint pain"",""morning stiffness"",""symmetric polyarthritis"",""hand and wrist swelling"",""fatigue""]","[""rheumatoid nodules"",""interstitial lung disease"",""vasculitis""]","[""severe joint deformity"",""systemic vasculitis"",""rapidly progressive disease""]",10,false,routine,"chronic, progressive, >6 weeks","[""Morning stiffness >1 hour"",""Arthritis of 3+ joints"",""Symmetric arthritis"",""Positive RF or anti-CCP""]","[""Osteoarthritis"",""Systemic Lupus Erythematosus"",""Psoriatic Arthritis"",""Gout""]","[""RF (Rheumatoid Factor)"",""Anti-CCP antibody"",""ESR"",""CRP"",""X-ray hands/feet"",""Ultrasound joints""]",Rheumatologist,"[""Symmetric small joint involvement"",""Morning stiffness"",""Positive anti-CCP"",""Erosions on X-ray""]","[""ACR/EULAR Classification Criteria"",""Rheumatology Clinical Guidelines""]",30-60 years,female,2024-01-01 00:00:00,2024-01-01 00:00:00
5,COND005,Type 2 Diabetes Mellitus,"[""E11.9"",""E11.65""]","[""44054006""]","[""increased thirst"",""frequent urination"",""unexplained weight loss"",""fatigue"",""blurred vision"",""slow wound healing""]","[""acanthosis nigricans"",""recurrent infections"",""neuropathy""]","[""diabetic ketoacidosis symptoms"",""severe hyperglycemia >600 mg/dL"",""altered mental status""]",90,false,routine,"chronic, insidious onset, months-years","[""Fasting glucose ≥126 mg/dL"",""HbA1c ≥6.5%"",""Random glucose ≥200 mg/dL with symptoms""]","[""Type 1 Diabetes"",""Prediabetes"",""MODY"",""Cushing Syndrome"",""Hyperthyroidism""]","[""Fasting blood glucose"",""HbA1c"",""Oral glucose tolerance test"",""Lipid panel"",""Urinalysis"",""Creatinine""]",Endocrinologist,"[""Age >45"",""Obesity"",""Family history"",""Acanthosis nigricans""]","[""ADA Standards of Medical Care"",""WHO Diabetes Diagnostic Criteria""]",40-65 years,equal,2024-01-01 00:00:00,2024-01-01 00:00:00
6,COND006,Acute Appendicitis,"[""K35.8"",""K35.80""]","[""74400008""]","[""right lower quadrant pain"",""nausea"",""vomiting"",""fever"",""loss of appetite"",""rebound tenderness""]","[""diarrhea"",""constipation"",""dysuria""]","[""peritoneal signs"",""high fever"",""severe abdominal pain"",""hypotension""]",90,false,emergency,"acute onset, hours to 1-2 days","[""RLQ pain with migration from periumbilical"",""Fever"",""Leukocytosis"",""CT showing appendiceal inflammation""]","[""Gastroenteritis"",""Mesenteric Lymphadenitis"",""Ectopic Pregnancy"",""Ovarian Torsion"",""Kidney Stone""]","[""CT abdomen/pelvis with contrast"",""Ultrasound"",""CBC"",""Urinalysis"",""Pregnancy test (females)""]",Surgeon,"[""McBurney point tenderness"",""Rovsing sign"",""Psoas sign"",""Migration of pain to RLQ""]","[""American College of Surgeons Guidelines"",""Emergency Medicine Literature""]",10-30 years,equal,2024-01-01 00:00:00,2024-01-01 00:00:00
7,COND007,Asthma,"[""J45.9"",""J45.20""]","[""195967001""]","[""wheezing"",""shortness of breath"",""chest tightness"",""cough"",""nocturnal symptoms""]","[""exercise-induced symptoms"",""seasonal variation"",""aspirin sensitivity""]","[""status asthmaticus"",""severe respiratory distress"",""inability to speak full sentences"",""cyanosis""]",80,false,urgent,"episodic, variable, triggered","[""Reversible airway obstruction on spirometry"",""FEV1 improvement >12% with bronchodilator"",""Peak flow variability""]","[""COPD"",""Cardiac Asthma"",""Vocal Cord Dysfunction"",""Pulmonary Embolism""]","[""Spirometry"",""Peak flow measurement"",""Methacholine challenge test"",""Allergy testing"",""Chest X-ray""]",Pulmonologist,"[""Reversibility with bronchodilators"",""Atopic history"",""Nocturnal symptoms"",""Trigger identification""]","[""GINA Guidelines"",""NHLBI Expert Panel Report""]",childhood-adult,equal,2024-01-01 00:00:00,2024-01-01 00:00:00
8,COND008,Congestive Heart Failure,"[""I50.9"",""I50.23""]","[""84114007""]","[""dyspnea on exertion"",""orthopnea"",""paroxysmal nocturnal dyspnea"",""leg swelling"",""fatigue"",""weight gain""]","[""nocturia"",""abdominal bloating"",""decreased appetite""]","[""acute pulmonary edema"",""cardiogenic shock"",""severe hypotension""]",25,false,urgent,"chronic, progressive, acute exacerbations","[""Clinical symptoms"",""BNP or NT-proBNP elevation"",""Echocardiogram showing reduced EF or diastolic dysfunction""]","[""Pulmonary Disease"",""Kidney Disease"",""Liver Cirrhosis"",""Venous Insufficiency""]","[""BNP or NT-proBNP"",""Echocardiogram"",""ECG"",""Chest X-ray"",""CBC"",""BMP"",""Cardiac MRI""]",Cardiologist,"[""Elevated JVP"",""S3 gallop"",""Bilateral crackles"",""Peripheral edema"",""Elevated BNP""]","[""ACC/AHA Heart Failure Guidelines"",""ESC Heart Failure Guidelines""]",60-80 years,male,2024-01-01 00:00:00,2024-01-01 00:00:00
9,COND009,Hypothyroidism,"[""E03.9"",""E03.8""]","[""40930008""]","[""fatigue"",""weight gain"",""cold intolerance"",""constipation"",""dry skin"",""hair loss"",""depression""]","[""myxedema"",""carpal tunnel syndrome"",""menorrhagia""]","[""myxedema coma"",""severe hypothermia"",""altered mental status""]",50,false,routine,"chronic, insidious, months-years","[""Elevated TSH"",""Low Free T4"",""Clinical symptoms""]","[""Depression"",""Chronic Fatigue Syndrome"",""Menopause"",""Anemia""]","[""TSH"",""Free T4"",""Free T3"",""Thyroid antibodies (TPO, Tg)"",""Lipid panel""]",Endocrinologist,"[""Elevated TSH with low Free T4"",""Cold intolerance"",""Weight gain despite no change in diet""]","[""American Thyroid Association Guidelines"",""Endocrine Society Clinical Practice Guidelines""]",30-60 years,female,2024-01-01 00:00:00,2024-01-01 00:00:00
10,COND010,Alzheimer Disease,"[""G30.9"",""G30.0""]","[""26929004""]","[""progressive memory loss"",""confusion"",""difficulty with daily tasks"",""language problems"",""mood changes"",""personality changes""]","[""apraxia"",""agnosia"",""wandering"",""hallucinations""]","[""rapidly progressive dementia"",""focal neurological signs"",""age <60 with dementia""]",70,false,routine,"chronic, progressive, years","[""Gradual onset cognitive decline"",""Impairment in ≥2 cognitive domains"",""MRI showing cortical atrophy"",""Neuropsychological testing""]","[""Vascular Dementia"",""Lewy Body Dementia"",""Frontotemporal Dementia"",""Normal Pressure Hydrocephalus"",""Depression""]","[""MRI brain"",""Neuropsychological testing"",""MMSE or MoCA"",""TSH"",""B12"",""RPR"",""PET scan (if available)""]",Neurologist,"[""Insidious onset"",""Gradual progression"",""Predominant memory impairment"",""Medial temporal lobe atrophy on MRI""]","[""NIA-AA Diagnostic Criteria"",""Alzheimer's Association Guidelines""]",65-90 years,female,2024-01-01 00:00:00,2024-01-01 00:00:00
11,COND011,Acute Ischemic Stroke,"[""I63.9"",""I63.50""]","[""422504002""]","[""sudden weakness"",""facial drooping"",""speech difficulty"",""confusion"",""vision changes"",""severe headache"",""loss of coordination""]","[""aphasia"",""neglect"",""gaze deviation""]","[""large vessel occlusion"",""progressive symptoms"",""decreased consciousness""]",200,false,emergency,"acute onset, sudden","[""Focal neurological deficit"",""Sudden onset"",""CT or MRI showing infarct"",""Vascular risk factors""]","[""Hemorrhagic Stroke"",""TIA"",""Migraine with Aura"",""Seizure"",""Hypoglycemia""]","[""CT head non-contrast (immediate)"",""MRI brain with DWI"",""CT angiography"",""ECG"",""Carotid ultrasound"",""Echocardiogram""]",Neurologist,"[""FAST positive (Face-Arm-Speech-Time)"",""Sudden onset"",""Vascular territory distribution""]","[""AHA/ASA Stroke Guidelines"",""European Stroke Guidelines""]",60-85 years,male,2024-01-01 00:00:00,2024-01-01 00:00:00
12,COND012,Pneumonia,"[""J18.9"",""J18.1""]","[""233604007""]","[""cough"",""fever"",""dyspnea"",""chest pain"",""sputum production"",""chills""]","[""confusion in elderly"",""abdominal pain"",""diarrhea""]","[""severe hypoxemia"",""septic shock"",""respiratory failure""]",400,false,urgent,"acute onset, days","[""Fever or hypothermia"",""Respiratory symptoms"",""Infiltrate on chest imaging"",""Leukocytosis or leukopenia""]","[""Bronchitis"",""Heart Failure"",""Pulmonary Embolism"",""Lung Cancer"",""ARDS""]","[""Chest X-ray"",""CBC"",""Sputum culture"",""Blood cultures"",""Procalcitonin"",""Pulse oximetry""]",Pulmonologist,"[""Focal consolidation on CXR"",""Fever with productive cough"",""Pleuritic chest pain""]","[""IDSA/ATS Community-Acquired Pneumonia Guidelines""]",all ages,equal,2024-01-01 00:00:00,2024-01-01 00:00:00
13,COND013,Urinary Tract Infection,"[""N39.0"",""N30.00""]","[""68566005""]","[""dysuria"",""urinary frequency"",""urgency"",""suprapubic pain"",""hematuria""]","[""fever"",""flank pain"",""nausea"",""vomiting""]","[""fever with flank pain (pyelonephritis)"",""sepsis"",""altered mental status in elderly""]",150,false,routine,"acute onset, days","[""Dysuria"",""Positive urine culture (>100,000 CFU/mL)"",""Pyuria""]","[""Vaginitis"",""Urethritis"",""Kidney Stone"",""Interstitial Cystitis""]","[""Urinalysis"",""Urine culture"",""Pregnancy test"",""Renal ultrasound if recurrent""]",Urologist,"[""Dysuria with frequency"",""Positive leukocyte esterase/nitrites"",""Female gender""]","[""IDSA UTI Guidelines"",""European Association of Urology Guidelines""]",20-65 years,female,2024-01-01 00:00:00,2024-01-01 00:00:00
14,COND014,Sepsis,"[""A41.9"",""R65.20""]","[""91302008""]","[""fever or hypothermia"",""tachycardia"",""tachypnea"",""altered mental status"",""hypotension"",""chills""]","[""decreased urine output"",""hypoxemia"",""coagulopathy""]","[""septic shock"",""multi-organ failure"",""lactate >4 mmol/L""]",300,false,emergency,"acute onset, hours to days","[""SIRS criteria (2+)"",""Suspected or confirmed infection"",""Organ dysfunction (qSOFA ≥2)"",""Lactate elevation""]","[""Severe Infection without Sepsis"",""Cardiogenic Shock"",""Anaphylaxis"",""Adrenal Crisis""]","[""Blood cultures"",""CBC"",""Lactate"",""Procalcitonin"",""BMP"",""Liver function tests"",""Chest X-ray"",""Urinalysis""]",Intensivist,"[""Hypotension requiring vasopressors"",""Lactate >2 mmol/L"",""Source of infection identified""]","[""Surviving Sepsis Campaign Guidelines"",""SCCM/ESICM Sepsis-3 Criteria""]",all ages,equal,2024-01-01 00:00:00,2024-01-01 00:00:00
15,COND015,Pulmonary Embolism,"[""I26.9"",""I26.99""]","[""59282003""]","[""sudden dyspnea"",""chest pain"",""tachycardia"",""tachypnea"",""cough"",""hemoptysis""]","[""syncope"",""leg swelling"",""hypotension""]","[""massive PE with hemodynamic instability"",""syncope"",""severe hypoxemia""]",60,false,emergency,"acute onset, sudden","[""Clinical suspicion with risk factors"",""D-dimer elevation"",""CT pulmonary angiography showing clot""]","[""Myocardial Infarction"",""Pneumonia"",""Pneumothorax"",""Heart Failure"",""Anxiety/Panic Attack""]","[""D-dimer"",""CT pulmonary angiography"",""Venous ultrasound lower extremities"",""ECG"",""ABG"",""Troponin""]",Pulmonologist,"[""Sudden onset dyspnea"",""Risk factors (DVT, surgery, immobility)"",""Pleuritic chest pain""]","[""ESC Pulmonary Embolism Guidelines"",""ACCP Antithrombotic Therapy Guidelines""]",40-75 years,female,2024-01-01 00:00:00,2024-01-01 00:00:00
